run,device,device_name,sm,sm_count,cell,axis,points,voxel_m,pool_blocks,blocks,load_factor,batch,scratch_slots,arm,stage,p50_ms,p95_ms,p99_ms,min_ms,mean_ms,n,gpu_state
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,allocate,0.027988,0.028344,0.028360,0.027532,0.027986,30,"2827, 13801, 47, 75.78"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,update,0.250428,0.253116,0.253212,0.247352,0.250262,30,"2827, 13801, 47, 75.78"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A4-rust,allocate,0.037188,0.037660,0.037916,0.035992,0.037123,30,"2827, 13801, 47, 75.78"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A4-rust,update,0.271124,0.273900,0.274960,0.267296,0.270830,30,"2827, 13801, 47, 75.78"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A5-triton,allocate,0.500996,0.503236,0.504120,0.497232,0.500864,30,"2827, 13801, 47, 75.78"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A5-triton,update,0.327284,0.330504,0.331180,0.324400,0.327513,30,"2827, 13801, 47, 75.78"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A3-cuda,allocate,0.004980,0.005220,0.005276,0.004824,0.005001,30,"2827, 13801, 46, 150.30"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A3-cuda,update,0.034356,0.035328,0.035628,0.033700,0.034463,30,"2827, 13801, 46, 150.30"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A4-rust,allocate,0.016640,0.017104,0.017176,0.016356,0.016682,30,"2827, 13801, 46, 150.30"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A4-rust,update,0.041008,0.041488,0.042268,0.040496,0.041019,30,"2827, 13801, 46, 150.30"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A5-triton,allocate,0.085652,0.086316,0.086524,0.084948,0.085650,30,"2827, 13801, 46, 150.30"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A5-triton,update,0.088080,0.088704,0.088720,0.087404,0.088121,30,"2827, 13801, 46, 150.30"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-80k,points,80000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,allocate,0.010500,0.011208,0.011236,0.010160,0.010563,30,"2827, 13801, 47, 149.32"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-80k,points,80000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,update,0.069688,0.070940,0.070952,0.068756,0.069739,30,"2827, 13801, 47, 149.32"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-80k,points,80000,0.010000,16384,1160,0.035400,8,65536,A4-rust,allocate,0.017660,0.018320,0.018344,0.017160,0.017694,30,"2827, 13801, 47, 149.32"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-80k,points,80000,0.010000,16384,1160,0.035400,8,65536,A4-rust,update,0.081904,0.083684,0.083952,0.079840,0.082019,30,"2827, 13801, 47, 149.32"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-80k,points,80000,0.010000,16384,1160,0.035400,8,65536,A5-triton,allocate,0.149256,0.149768,0.149948,0.148640,0.149310,30,"2827, 13801, 47, 149.32"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-80k,points,80000,0.010000,16384,1160,0.035400,8,65536,A5-triton,update,0.118384,0.119288,0.119500,0.117088,0.118241,30,"2827, 13801, 47, 149.32"
